Locuteur,Echange
LD54:,un coutelier artisan
ch_NS3:,donc
ch_NS3:,oui
ch_NS3:,donc lui il fait la partie
ch_NS3:,ben il est avec sa femme aussi
ch_NS3:,elle elle fait la partie
ch_NS3:,cadeaux vente euh
ch_NS3:,et lui donc c'est plutôt le
ch_NS3:,euh la partie euh
LD54:,lui il il est plutôt à l'atelier
ch_NS3:,ouais
ch_NS3:,euh réparation ou
LD54:,et bon je pense
ch_NS3:,que cette femme euh n'a pas un client
LD54:,qui rentre dans sa boutique
LD54:,tous les minutes
LD54:,toutes
ch_NS3:,oui je pense que c'est moins que vous y a moins d- moins de gens que vous hein
LD54:,hein
LD54:,bon c'est pas le m- la m- c'est c'est
ch_NS3:,ouais
LD54:,pas les mêmes rapports hein
ch_NS3:,hm ouais
LD54:,mais je pense bon c'est
LD54:,mais c'est un métier euh
LD54:,c'est un métier différent moi je dis euh
LD54:,ce genre de commerce euh
LD54:,où on vend un produit sélectif
LD54:,c'est autre chose euh
LD54:,c'est c- c'est
ch_NS3:,hm hm
LD54:,bon aujourd'hui euh ça m'aurait pas dérangé
LD54:,de de faire ce genre de de
LD54:,d'avoir ce genre de de commerce
LD54:,mais c'est des commerces à risque
LD54:,donc aujourd'hui euh
LD54:,on peut pas se permettre
ch_NS3:,hm hm
ch_NS3:,d'accord
ch_NS3:,euh
ch_NS3:,et donc le euh
ch_NS3:,le midi vous arrivez à à faire une pause
ch_NS3:,pour manger sur place ou euh ?
LD54:,oui donc euh le midi euh on
LD54:,auparavant ici c'était fermé entre midi et deux
LD54:,entre euh les gens
LD54:,c'est les gens qui ont tenu ça ils l'ont tenu trente-cinq ans
LD54:,donc euh ils ont pris leur retraite
LD54:,et ils fermaient à midi un quart
LD54:,je pense qu'ils en avaient un petit peu soupé
LD54:,ils fermaient à midi un quart
LD54:,pour ouvrir à deux heures moins le quart
LD54:,mais il s'avère et euh
LD54:,et il s'avère et ça c'était
LD54:,pratiquement euh déjà en prenant le commerce
LD54:,il s'avère qu'il fallait ouvrir pendant midi
LD54:,parce que pendant midi
LD54:,y a quand même
LD54:,je dis pas on a sous les caisses enregistreuses on a des
LD54:,des plages horaires
LD54:,on peut connaître les recettes euh par plage horaire
ch_NS3:,hm hm
LD54:,entre midi et deux
LD54:,on a autant de clients
LD54:,voire plus
LD54:,que entre euh euh
LD54:,peut-être des jours entre trois et
LD54:,et entre trois et quatre heures on a eu
LD54:,plus de clients entre midi
LD54:,entre treize heures et quatorze heures
LD54:,que entre quinze heures et seize heures
LD54:,ça c- c'est c'est
ch_NS3:,hm hm
LD54:,p- c'est c'est très c'est très peu
LD54:,y a pas de norme
LD54:,hein
LD54:,donc il faut être bon dans ces cas-là c'est
LD54:,du fait qu'on peut très bien euh on peut
LD54:,très bien être euh
LD54:,on peut s'absenter une heure sans problème euh le
LD54:,midi hein ça veut dire que
LD54:,on ferme pas
LD54:,mais une personne
LD54:,peut très bien venir euh le midi sans problème hein
LD54:,comme on peut aujourd'hui
LD54:,euh s'absenter ça veut dire que dans ce genre de d'activité
LD54:,on doit aller chercher les timbres fiscaux
LD54:,ça veut dire ce matin je me suis absenté une heure
LD54:,pour aller à Coligny chercher les timbres fiscaux
LD54:,ça veut dire les timbres fiscaux il faut aller les chercher
LD54:,des timbres poste il faut aller les chercher
LD54:,euh faut aller à la banque déposer des recettes
LD54:,faut aller à la banque chercher de la monnaie
LD54:,mais c'est pas très loin
LD54:,tout ça c'est des
LD54:,c'est des activités qui sont
LD54:,proches
ch_NS3:,hm hm
LD54:,mais euh aller au dépannage en tabac
LD54:,donc euh tous ces gens-là
LD54:,quand ils ont un bureau de tabac ou une presse
LD54:,ils le font
LD54:,entre midi et trois
LD54:,la plupart sont fermés euh
LD54:,quand on est en
LD54:,hors un hors euh hors ville
LD54:,souvent euh j'ai des collègues
LD54:,ils sont fermés entre treize heures et quinze heures
LD54:,parce que c'est comme ça euh un centre commercial
LD54:,et ça leur permet
LD54:,pendant ces deux heures de temps
LD54:,de faire toutes ces activités un petit peu euh
LD54:,complémentaires qui sont nécessaires
LD54:,et que nous on peut se permettre de le faire
ch_NS3:,hm hm
LD54:,parce qu'on est deux
ch_NS3:,bah oui
LD54:,hein
ch_NS3:,hm hm
ch_NS3:,et vos
ch_NS3:,si je peux vous poser des
ch_NS3:,des questions sur votre euh sur votre famille euh
ch_NS3:,vos parents ils
ch_NS3:,ils étaient de d'Orléans aussi euh ?
LD54:,non je suis natif de trente kilomètres
LD54:,d'ici donc euh
ch_NS3:,ah oui pardon vous m'avez dit oui
ch_NS3:,c'est quelle
ch_NS3:,de quelle ville euh ?
LD54:,euh Bazoche-les-Gallerandes
LD54:,quand on dit ça vous connaissez pas
ch_NS3:,je connais pas
ch_NS3:,[rire:noise:instantaneous]
LD54:,non non
LD54:,mais aujourd'hui c'est
LD54:,bon vous voyez Pithiviers y a Pithiviers d'un côté
LD54:,Pithiviers c'est donc là
LD54:,hein
LD54:,et Bazoche-les-Gallerandes
LD54:,c'est quand vous allez sur euh
LD54:,sur Paris
LD54:,vous soit vous avez euh
LD54:,une direction soit vous prenez l- la
LD54:,la la nationale vingt
ch_NS3:,hm hm
LD54:,ou soit vous passez par la forêt d'Orléans
LD54:,la forêt d'Orléans
LD54:,qui est quand même la forêt la plus grande de de France hein
LD54:,vous le saviez ?
ch_NS3:,n- non
ch_NS3:,je savais même pas
ch_NS3:,je savais que
ch_NS3:,la forêt d'Orléans était importante
ch_NS3:,mais ah bon je ne savais pas
LD54:,c'est la forêt la plus grande de France
LD54:,pas d'Europe un jour na-
ch_NS3:,d'accord
LD54:,bah quelqu'un m'a dit d'Europe bah j'ai dit non non c'est pas d'Europe
LD54:,de France
LD54:,bon elle est très étendue elle va jusqu'à Montargis hein
ch_NS3:,d'accord
LD54:,bon elle est très décousue
ch_NS3:,hm hm
LD54:,mais être très décousue ça veut qu'elle est pas
LD54:,c'est pas une forêt
LD54:,un domaine où bon c'est vrai que
LD54:,quand on voit euh quand on la voit de haut
LD54:,sur un euh
LD54:,sur une sur une carte on voit vraiment c'est décousu
LD54:,mais elle va quand même jusqu'à Montargis hein
LD54:,hein
ch_NS3:,hm hm
LD54:,donc quand vous allez sur Paris
LD54:,si vous prenez la direction Paris en passant par euh
LD54:,Saint-Lyé-la-Forêt
LD54:,par Fleury-les-Aubrais
LD54:,vous passez dans ce village
LD54:,hein
LD54:,donc c'est après la forêt d'Orléans
LD54:,près de Neuville-aux-Bois
LD54:,je sais pas si Neuville-aux-Bois vous connaissez
ch_NS3:,oui
ch_NS3:,ouais ouais d'accord
LD54:,bon ça c'est c'est des
LD54:,c'est des villages qui s'a- qui s'approchent
ch_NS3:,hm hm
LD54:,[tx:noise:instantaneous]
LD54:,non mes parents bon pensaient pas un jour
LD54:,que je serai commerçant
LD54:,donc c'était vraiment pas du tout euh
LD54:,envisageable hein
ch_NS3:,et eux ils faisaient quel euh
ch_NS3:,quel euh métier ?
LD54:,comme tout personne
LD54:,qui sont dans la euh
LD54:,dans la Beauce euh agriculteurs
ch_NS3:,d'accord
ch_NS3:,hm hm
LD54:,ils sont plus ils sont toujours vivants
LD54:,mais ils sont plus agriculteurs
LD54:,ils sont à la retraite depuis longtemps
ch_NS3:,hm hm
ch_NS3:,et vous vous n'avez jamais voulu euh
ch_NS3:,continuer euh
ch_NS3:,dans leur lignée enfin être agriculteur aussi euh
ch_NS3:,rester à la campagne euh ?
LD54:,non
LD54:,parce que j'avais bah j'avais fait une filière un peu différente
LD54:,mais c'est vrai
LD54:,que j'aurais pu très bien c'est vrai que
LD54:,ça a été évoqué
LD54:,y a vingt ans
LD54:,trente ans euh
LD54:,j'ai des amis des des
LD54:,des camarades d'école euh de longue date
LD54:,et on se disait
LD54:,euh eux voyaient ça du côté différent
LD54:,ils voyaient les fermes de Beauce c'est vrai
LD54:,euh
LD54:,qui étaient très bien à la-
LD54:,à l'époque on on
LD54:,aujourd'hui les paysans se plaignent
LD54:,parce que c'est vrai le pouvoir d'achat a baissé
LD54:,mais c'est vrai que les années glorieuses des paysans
LD54:,des agriculteurs étaient très bonnes
LD54:,dans les années soixante-dix quatre-vingts
LD54:,et c'est vrai que
LD54:,quand j'étais adolescent
LD54:,j'aurais pu faire euh
LD54:,un brevet t- un un
LD54:,un bac- technique ou un BTS agricole euh au
LD54:,[pi:pronounce:instantaneous]
LD54:,comme la plupart des enfants faisaient hein
LD54:,mais c'est mon frère qui l'a fait
ch_NS3:,hm hm
LD54:,parce que euh mon frère est l'aîné
ch_NS3:,d'accord
LD54:,donc c'est comme ça
LD54:,que euh dans une famille souvent dans une ferme
LD54:,c'est souvent le l'aîné qui
LD54:,qui prend la ferme de des parents
LD54:,et le deuxième et le troisième fait autre chose
LD54:,[rire:noise:instantaneous]
ch_NS3:,hm hm
LD54:,mais je me sentais pas capable je me sentais pas
LD54:,intéressé
LD54:,mais après réflexion quand on voit euh
LD54:,quand on voit bon même si j'ai été salarié
LD54:,pas malheureux
LD54:,j'ai pas eu
LD54:,un stress important au travail
LD54:,j'avais quand même euh
LD54:,une fonction un métier qui me plaisait
LD54:,donc j'étais pas du tout quelqu'un
LD54:,qui allait travailler en
LD54:,en traînant les pieds bon
LD54:,mais
LD54:,pour certains euh
LD54:,pour certains amis
LD54:,qui travaillaient peut-être d'une façon différente
LD54:,ou peut-être qu'ils avaient plus de stress
LD54:,eux ils voyaient ils me disaient mais vraiment
LD54:,qu'est-ce que tu t'embêtes
LD54:,à d'aller travaill- de faire
LD54:,tu aurais repris la ferme de tes parents
LD54:,tu serais quand même euh
LD54:,bon c'est vrai que euh
LD54:,y a eu euh c'est vrai que c'était des
LD54:,c'était une époque où y avait plus souvent les enfants
LD54:,bon moi je peux pas le faire
LD54:,mon frère l'avait reprise
LD54:,hein
ch_NS3:,hm hm
LD54:,mais ça m'aurait pas plu pour autant
LD54:,hein
LD54:,parce que j'étais pas fait
LD54:,[pi:pronounce:instantaneous] agricole je pense pas
LD54:,j'étais plutôt fait plutôt du b- euh de
LD54:,plutôt côté marketing
LD54:,packaging parfumerie plutôt
ch_NS3:,[rire:noise:instantaneous]
LD54:,quelqu'un de p-
ch_NS3:,hm hm
LD54:,pas de précieux mais je préférais plutôt ce genre de
LD54:,de contact
LD54:,que le contact de la terre
LD54:,mais ça empêche pas
ch_NS3:,hm
LD54:,que le rapport des agriculteurs
LD54:,n'était pas très mauvais y a quelques années
LD54:,donc euh c'est vrai que c'est un métier comme un autre
LD54:,euh
LD54:,c'est pas l'élevage euh c'est vrai que dans notre région
LD54:,c'est vrai que l'agri- l'agriculture
LD54:,c'est quelque chose de plus agréable
LD54:,que l'élevage en Normandie
LD54:,où c'est quand même beaucoup plus prenant
LD54:,hein
ch_NS3:,hm hm
ch_NS3:,ouais
ch_NS3:,et vous avez des des enfants ?
ch_NS3:,ou
LD54:,non nous avons pas d'enfants
LD54:,donc c'est pour ça que euh
LD54:,on est là ensemble euh
LD54:,c'est vrai qu'on n'a pas la charge d'enfants
LD54:,hein euh à gérer euh
LD54:,bon euh on les aurait eu
LD54:,ils seraient déjà largement majeurs hein
LD54:,mais c'est-à-dire
LD54:,qu'on n'a pas
LD54:,eu euh la gestion d'- d'enfants
LD54:,pendant notre euh
LD54:,notre travail
ch_NS3:,hm hm
ch_NS3:,et donc euh le
ch_NS3:,l'endroit où vous vivez donc euh Se- Semoy
ch_NS3:,c'est euh
ch_NS3:,c'est agréable comme euh
ch_NS3:,comme petit village euh ?
ch_NS3:,parce que là vous vivez en fait euh
ch_NS3:,y a la circulation y a le
ch_NS3:,le les gens le bruit et cetera
ch_NS3:,donc je sais pas est-ce que vous êtes heureux
ch_NS3:,de rentrer chez vous au calme
ch_NS3:,ou est-ce que vous préférez la vie en ville ou ?
ch_NS3:,là vous avez un petit peu des deux
ch_NS3:,du
ch_NS3:,du coup euh
LD54:,bon euh euh hm
LD54:,en l- en réalité quand je
LD54:,avant j'étais pas ville
LD54:,hein
LD54:,en réalité euh
LD54:,bon euh j'ai j'ai quand même vécu
LD54:,beaucoup dans
LD54:,dans l'industrie ça veut dire
LD54:,c'était je travaillais
LD54:,dans des enseignes dans des end-
LD54:,parce qu'après je me suis dit
LD54:,mais à un moment mais je me suis dit à un moment
LD54:,je me suis un jour fait la réflexion
LD54:,est-ce que tu es de la ville en réalité ?
LD54:,et je me suis rendu compte
LD54:,que à part le samedi auparavant
LD54:,parce que je me suis dit
LD54:,euh c'est vrai qu'au début
LD54:,euh d'être à Orléans
LD54:,c'était pour moi une nouveauté
LD54:,parce que j'ai
LD54:,pas connu Orléans
LD54:,j- Orléans
LD54:,je le connaissais
LD54:,comme beaucoup comme vous-même
LD54:,euh le samedi
LD54:,pour faire des courses
LD54:,euh on a tous fait avec mon épouse euh
LD54:,les Arcades euh
LD54:,on a tous été chez
LD54:,Bègue euh acheter des chaussures
ch_NS3:,hm hm
LD54:,on a tous connu euh la Fnac
LD54:,on allait le samedi
LD54:,faire euh faire un tour en ville
LD54:,c'était
LD54:,euh bon
LD54:,pendant les quinze ans que j'étais sur Chartres
LD54:,c'était pas le soir en rentrant du travail
LD54:,que je voul- euh
LD54:,pouvais venir faire un tour en ville
LD54:,si j'avais besoin à faire
LD54:,j'allais le faire sur Chartres
LD54:,hein
ch_NS3:,hm hm
LD54:,mais j'étais pendant un certain temps c'est vrai euh
LD54:,courir dans dans
LD54:,dans dans u- une
LD54:,dans dans
LD54:,dans l'enceinte
LD54:,de bureaux
LD54:,d'usines c'est vrai que
LD54:,pendant euh toutes euh
LD54:,mes trente ans de euh d- de de
LD54:,d'activité
LD54:,j'étais dans bon
LD54:,j'ai pas pu
LD54:,on peut pas dire
LD54:,qu'on a connu le le le bruit de la ville
LD54:,c'est vrai que depuis quatre ans
LD54:,que nous sommes trois ans que nous sommes là
LD54:,donc ça me dérange pas
LD54:,mais c'est beaucoup plus vivant
LD54:,mais j'aurais pas de pavillon
LD54:,ça m'aurait pas dérangé d'habiter Orléans
LD54:,loin de là
LD54:,hein
ch_NS3:,hm hm
LD54:,parce que on est quand même proche
LD54:,et aujourd'hui habiter ici
LD54:,par rapport à j'ai un
LD54:,[bb:noise:instantaneous]
LD54:,un collègue qui qui fait le même métier que moi
LD54:,dans un village style Saint-Privé-
LD54:,La-Chapelle chose comme ça
LD54:,il est dans un petit village
LD54:,dans un p-
LD54:,sur une petite place
LD54:,et lui quand il est rentré
LD54:,dans sa boutique même quand sa femme est là
LD54:,il me dit dans ma boutique euh j'ai ma boutique
LD54:,point final
LD54:,il me dit toi par rapport à moi
LD54:,tu sors euh
LD54:,tu es en ville donc euh la ville
LD54:,tu peux très bien euh
LD54:,faire un m- si tu as un besoin de quelque chose
LD54:,tu y vas
ch_NS3:,hm hm
LD54:,tu vas à Place d'Arc tu peux faire euh
LD54:,tu peux prendre le tram-
LD54:,pour a- pour te déplacer
LD54:,et il me dit
LD54:,euh et c'est vrai que si on veut aller boire euh un
LD54:,café
LD54:,on va au café à côté donc
LD54:,aujourd'hui euh j'étais pas
LD54:,je je je
LD54:,je j'avais pas connu ce- ce- cet en-
LD54:,cet envoûtement de de la ville
LD54:,et je pense que euh
LD54:,demain euh quand je serais plus âgé
LD54:,je crois que
LD54:,ça me t-
LD54:,ça ça me dérangerai pas d'habi- d'habiter en ville
LD54:,chose que j'avais jamais envisagé
LD54:,hein
LD54:,on a tous habité en début
ch_NS3:,hm hm
LD54:,dans des appartements
LD54:,donc c- euh
LD54:,au début euh quand nous nous sommes mariés
LD54:,on a tous habité
LD54:,en appartement euh
LD54:,sur Fleury-les-Aubrais
LD54:,donc c'était très c'était plutôt des villes dortoirs bon
LD54:,parce qu'on travaillait
LD54:,mais c'est vrai que euh y a trente ans quarante ans
LD54:,on ça se faisait pas beaucoup
LD54:,on envisageait
LD54:,[envisageaigeait:pronounce:instantaneous] pas
LD54:,de venir habiter Orléans centre hein
LD54:,mais aujourd'hui moi-même euh
ch_NS3:,hm hm
LD54:,et mon épouse je pense qu'elle pourrait suivre euh
LD54:,aujourd'hui on a un pavillon
LD54:,bon c'est différent on a un jardin
LD54:,on a des chats on a euh y a un univers
LD54:,y a la pelouse y a beaucoup de travail à faire
LD54:,c'est vrai beaucoup d'occupations
LD54:,mais on en tire un profit quand même le dimanche
LD54:,parce qu'on a que le dimanche nous pour en profiter
ch_NS3:,hm hm
LD54:,mais euh on préfère encore profiter euh du dimanche
LD54:,euh à la campagne
LD54:,parce que c'est même
LD54:,si on est proche d'Orléans
LD54:,c'est la campagne quand même hein c'est
LD54:,Semoy est un tout petit village accolé à Orléans
LD54:,entre Saint-Jean-de-Braye et Fleury-les-Aubrais
LD54:,un village
LD54:,qui se développe deux mille habitants
LD54:,euh une mairie euh
LD54:,deux trois commerces euh une boulangerie
LD54:,et plutôt des
LD54:,y a vingt trente ans
LD54:,c'était plutôt des des champs de pommiers
LD54:,qui ont été malheureusement tous été détruits
LD54:,et des pavillons mais c'est vraiment euh
LD54:,des petits pavillons qui sont construits un petit peu partout
LD54:,avec des grandes surfaces de terrain
LD54:,donc c'est vraiment la campagne
LD54:,c'est la campagne proche d'Orléans hein
ch_NS3:,hm hm
ch_NS3:,hm hm
LD54:,mais euh Orléans euh
LD54:,on me demanderait d'habiter Orléans euh
LD54:,ça me dérangerait pas
LD54:,donc
LD54:,dans l'esprit premier quand y a eu le logement ici
LD54:,on savait pas si on allait habiter ici
LD54:,donc au début c'était pas
LD54:,le logement était en plus c'était dans le pactole
LD54:,ça veut dire y avait le commerce et le logement
LD54:,bon
LD54:,s- on cherchait pas le logement
LD54:,comme demain
LD54:,y a des gens qui pourront chercher ce commerce
LD54:,pour le logement
ch_NS3:,hm hm
LD54:,que nous c'était le commerce
LD54:,qui nous plaisait
LD54:,le contact
LD54:,l'emplacement
LD54:,le chiffre d'affaires
LD54:,donc le l'ensemble le
LD54:,l- le le paquet complet
LD54:,le logement était un plus
LD54:,on en tire pas profit
LD54:,parce que on a autre chose
LD54:,mais on aurait pu très bien habiter là hein
ch_NS3:,hm hm
ch_NS3:,d'accord
ch_NS3:,et pour tout ce qui est euh
ch_NS3:,donc justement euh le les courses
ch_NS3:,euh l'en- pour l'alimentaire
ch_NS3:,pour ces choses-là euh vous faites ça sur euh
ch_NS3:,sur Semoy ou sur euh sur Orléans euh ?
LD54:,quand on a euh on
LD54:,peut très bien euh des jours de coupure
LD54:,euh mercredi ou jeudi
LD54:,euh prendre euh hm
LD54:,[bb:noise:instantaneous] la voiture et aller à Place d'Arc
LD54:,y a un Carrefour Market à Place d'Arc euh
LD54:,ça évite euh de courir
LD54:,quand on sait qu'on a des des
LD54:,des plages horaires
LD54:,des des t-
LD54:,des plages horaires possibles
LD54:,[b:noise:instantaneous]
LD54:,euh on va maintenant le plus souvent à
LD54:,à Carrefour Place d'Arc
LD54:,autrement euh c'est quoi c'est autrement si on faisait pas ça
LD54:,c'est courir le c'est courir le
LD54:,le soir euh après vingt heures
LD54:,dans les grandes surfaces style Auchan Carrefour
LD54:,bon
ch_NS3:,hm hm
LD54:,on l'a fait quelques fois
LD54:,mais au début
LD54:,et après y a le dimanche matin euh
LD54:,qu'on peut aussi comme tout le monde faire des courses
LD54:,comme on voit les gens faire les courses le dimanche matin
LD54:,dans un petit euh Carrefour Market euh à Fleury-les-Aubrais
LD54:,qui est le plus proche
LD54:,non par contre
LD54:,le dimanche on vient pas faire nos courses euh
LD54:,à Châtelet les Halles
ch_NS3:,hm hm
LD54:,bon parce que on y va euh
LD54:,on y va aussi
LD54:,assez souvent
LD54:,dans la journée
LD54:,à côté pour faire travailler les commerçants
LD54:,comme on est commerçant
LD54:,on a des clients commerçants
LD54:,qui sont commerçants à Châtelet les Halles
LD54:,donc l'intérêt
LD54:,par bon sens
LD54:,c'est de faire travailler euh
LD54:,nos clients hein
LD54:,c'est c'est c'est c'est nos clients euh
LD54:,ce sont nos clients euh
ch_NS3:,ouais ouais
LD54:,donc euh on va aussi à
LD54:,on fait travailler tous les commerces de d'Orléans
LD54:,la plupart du temps
ch_NS3:,hm hm
ch_NS3:,oui c'est vrai que là vous êtes euh
ch_NS3:,c'est pratique vous êtes euh
ch_NS3:,bien bien centrés donc euh
LD54:,oui pourquoi pourquoi
LD54:,chercher ailleurs hein
LD54:,quand on a sa
LD54:,proximité hein
LD54:,[rire:noise:instantaneous]
ch_NS3:,oui
ch_NS3:,ouais ouais
LD54:,donc pour ça l'intérêt c'est qu'on est bien s- on est bien placé
LD54:,et on a euh les Halles juste à côté
LD54:,et la banque ma banque est à côté
LD54:,donc euh la banque elle est
LD54:,Châtelet les Halles euh
LD54:,c'est un ensemble hein
ch_NS3:,hm hm
ch_NS3:,et donc justement quand vous ne
ch_NS3:,travaillez pas parce que les journées sont
ch_NS3:,sont assez longues euh
ch_NS3:,donc le soir je suppose que
ch_NS3:,les soirées doivent être assez courtes mais le
ch_NS3:,le week-end qui se résume au au dimanche
ch_NS3:,[rire:noise:instantaneous]
ch_NS3:,euh donc vous vous occupez de votre jardin
ch_NS3:,de votre maison euh
LD54:,oui ma famille mes parents
LD54:,donc qui sont toujours mes parents
LD54:,qui sont toujours euh vivants
LD54:,mes beaux parents qui sont toujours vivants
LD54:,mais c'est dans l- euh dans
LD54:,c'est aujourd'hui on
LD54:,peut parler on a parlé des points positifs du commerce
LD54:,parce qu'aujourd'hui c'est agréable euh
LD54:,mais les points par rapport à un
LD54:,mais ça je pense que c'est de la règle générale
LD54:,à tout commerce
LD54:,chose qu'on avait pas nous à l'époque euh analysé
LD54:,mais c'était pas le problème hein
LD54:,le problème d'un commerçant
LD54:,c'est que vous avez euh
LD54:,tout commerce
LD54:,vous avez des commerces euh
LD54:,que vous pouvez avoir deux jours de congé
LD54:,bon
LD54:,mais ces commerce de proximité comme les tabacs-presses
LD54:,il faut avoir co- ce
LD54:,le but c'est d'avoir
LD54:,que dimanche de congé
LD54:,hein voire certains on a même moins
ch_NS3:,hm hm
LD54:,bon
LD54:,même certains travaillent sept jours sur sept
LD54:,hein
LD54:,bon
LD54:,mais bon
LD54:,c'est une contrainte
LD54:,de av-
LD54:,d'avoir si on parle des choses
LD54:,à problèmes
LD54:,et contraignantes
LD54:,c'est vrai que
LD54:,les les marges de manoeuvre
LD54:,sont beaucoup plus faibles euh
LD54:,avec une journée de tra- de de congé
LD54:,que quand vous avez
LD54:,un week-end euh parce que en plus
ch_NS3:,hm hm
LD54:,par rapport à des commerçants
LD54:,qui y sont depuis trente ans quarante ans
LD54:,et qui l'ont toujours fait
LD54:,moi j'ai connu autre chose
LD54:,j'ai connu
LD54:,le salarié
LD54:,les RTT les congés payés
LD54:,et
LD54:,bon aussi beaucoup travail dans la journée
LD54:,mais des week-ends euh différents
ch_NS3:,hm hm
LD54:,c'est vrai que
LD54:,mais tous aujourd'hui euh tous les commerçants euh
LD54:,tous les jeunes commerç-
LD54:,tous les commerçants
LD54:,qui se sont aujourd'hui implantés à cinquante ans
LD54:,pour des raisons euh économiques ou autres
LD54:,je pense que leur problème
LD54:,surtout ceux qui sont euh tabac-presse ou même commerçants
LD54:,leur euh gros souci je pense
LD54:,et ça j'en suis sûr ça
LD54:,parce qu'on l'a déjà évoqué avec plusieurs
LD54:,c'est d'avoir euh moins de répit
LD54:,pour euh les loisirs
LD54:,bon
ch_NS3:,hm hm
LD54:,bon
LD54:,euh je pense qu'on a pas d'enfants
LD54:,on aurait des enfants bon
LD54:,mais en plus je pense que pour un commerçant euh
LD54:,il profiterait beaucoup moins de ses enfants
LD54:,en étant euh en ayant qu'une journée de congé
LD54:,par rapport euh à des gens euh
LD54:,comme vous qui avez quand même euh
LD54:,plus de temps de de di- de disponible
ch_NS3:,hm hm
LD54:,ça c'est peut-être euh les
LD54:,les contraintes
LD54:,d'un commerçant mais
LD54:,la plupart des commerçants euh aussi bien rue NANON euh
LD54:,les salariés euh
LD54:,ont souvent deux jours de congés
LD54:,qui sont pas toujours consécutifs
LD54:,mais la plupart des commerces euh
LD54:,souvent sont fermés le lundi
LD54:,donc aujourd'hui le problème de la rue NANON
LD54:,c'est que beaucoup de commerces
LD54:,rue NANON
LD54:,d'Orléans c'est que beaucoup de commerces sont fermés le lundi
LD54:,et y a m- eu même euh
LD54:,la mairie a demandé souvent que les commerces
LD54:,ouvrent lundi mais c'est vrai
LD54:,que le lundi après-midi euh
LD54:,à part le bijoutier qui est à côté
LD54:,c'est dommage parce que y a des gens
LD54:,qui veulent faire des achats
LD54:,sur Orléans
LD54:,hein euh des gens qui viennent de l'extérieur
LD54:,et c'est vrai que certains sont surpris et me disent
LD54:,mais tout est fermé à Orléans
LD54:,et c'est vrai que
LD54:,c'est un problème euh je pense
LD54:,de
LD54:,pour les gens de de de
LD54:,pour les gens de l'extérieur
LD54:,que les commerces soient pas ouverts le lundi
LD54:,mais comme certains commerçants m'ont dit euh
LD54:,on peut pas se permettre euh
LD54:,d'offrir le lundi on a des salariés et aujourd'hui euh
LD54:,des j- des des semaines à six jours
LD54:,ça se ça ça ne
LD54:,se fait pas
ch_NS3:,ah ouais
ch_NS3:,oui puis les gens qui
ch_NS3:,qui veulent s'occuper de leur euh
ch_NS3:,leur famille ou avoir un week-end euh
ch_NS3:,même si c'est un week-end décalé dimanche lundi euh
ch_NS3:,c'est vrai que
LD54:,non mais par exemple euh
LD54:,certaines personnes ont expliqué la raison
LD54:,ça veut dire je prends l'exemple du bijoutier
LD54:,le bijoutier me dit
LD54:,on peut pas ouvrir euh
LD54:,je peux pas ouvrir toute seule
LD54:,il faut être au moins deux ou trois
LD54:,question sécurité
LD54:,question sécurité
ch_NS3:,ah oui hm hm
LD54:,ça veut dire qu'aujourd'hui on peut pas
LD54:,il faut être minimum
LD54:,y a un minimum de deux ou trois personnes même si
LD54:,en activité complète un samedi ils sont quatre euh
LD54:,quatre s-
LD54:,quatre vendeurs je veux dire bon euh
LD54:,quatre salariés enfin bon
LD54:,que en cas de
LD54:,euh elle me disait on peut pas ouvrir
LD54:,on peut pas être je veux pas être seule dans cette boutique
LD54:,parce que y a trop de risques
LD54:,et les assurances ne marchent pas
LD54:,donc aujourd'hui il faut un minimum bon
LD54:,et y a beaucoup de commerces qui me di- qui m'ont dit
LD54:,on peut pas ouvrir seul
LD54:,il faut être
LD54:,avec moi-même si je suis la patronne
LD54:,il faut que j'ai encore une salariée
LD54:,donc c'est
LD54:,donc c'est certainement des charges plus importantes
LD54:,et des roulements à produire donc c'est pas du tout
LD54:,euh c'est pas si facile que ça hein
LD54:,et je pense que c- et même ouvrir pendant midi
LD54:,ça a été demandé souvent par la mairie d'Orléans
LD54:,que surtout le vendredi et le samedi que les commerces
LD54:,soient en continu
ch_NS3:,hm hm
LD54:,tout commerce
LD54:,aussi bien des commerces d'habillement
LD54:,que des que des chausseurs
LD54:,mais je pense que c'est aussi une question de euh
LD54:,de coût euh
LD54:,de coût de euh de salariés
LD54:,et y a des entreprises
LD54:,qui peuvent pas se le permettre
LD54:,parce que y a des entreprises
LD54:,qui sont souvent que deux et ils peuvent
LD54:,pas euh fermer euh
LD54:,ils peuvent pas ouvrir pendant midi
ch_NS3:,hm hm
ch_NS3:,d'accord ouais
ch_NS3:,et au niveau des loisirs
ch_NS3:,vous avez des
ch_NS3:,loisirs particuliers vous êtes dans des associations ou
LD54:,euh euh
LD54:,[bg:noise:instantaneous] de moins en moins
LD54:,hein
LD54:,ça euh v- je vous aurais dit le contraire
LD54:,vous m'auriez dit comment il peut faire
ch_NS3:,[rire :noise:instantaneous]
LD54:,faire du loisir
LD54:,non non c'est aussi des
LD54:,c'est pas des contraintes
LD54:,mais on a beaucoup moins de loisirs euh
LD54:,on peut plus aujourd'hui avoir autant de loisirs
LD54:,même l- euh même loisirs
LD54:,même s'évader même aller euh faire une virée euh
LD54:,à la mer ça veut dire
